32, 1246, 724, 710, 754
64, 822, 676, 718, 750
96, 822, 658, 702, 738
128, 904, 678, 722, 694
160, 986, 698, 744, 686
192, 1066, 708, 766, 692
224, 1150, 716, 784, 696
256, 1230, 726, 804, 700
288, 1312, 746, 824, 718
320, 1394, 768, 846, 712
352, 1474, 778, 862, 718
384, 1556, 800, 880, 724
416, 1638, 808, 902, 730
448, 1722, 828, 922, 734
480, 1802, 830, 942, 740
512, 1884, 860, 962, 744
544, 1976, 882, 984, 748
576, 2056, 890, 1004, 754
608, 2140, 910, 1034, 760
640, 2222, 912, 1052, 764
672, 2292, 940, 1084, 770
704, 2374, 962, 1094, 774
736, 2456, 972, 1114, 782
768, 2536, 994, 1136, 784
800, 2618, 994, 1146, 790
832, 2700, 1024, 1166, 796
864, 2782, 1046, 1186, 800
896, 2864, 1054, 1206, 804
928, 2950, 1074, 1228, 808
960, 3054, 1078, 1248, 814
