100, 83570, 62400, 74736, 40820
200, 298322, 196212, 284054, 122208
300, 667320, 457324, 659692, 250872
400, 1236820, 799382, 1203288, 427632
500, 1815594, 1455724, 1798020, 779868
600, 2671638, 1871034, 2648954, 1648324
700, 3578294, 2547366, 3534332, 2431566
800, 9034902, 3215552, 9020998, 3231146
900, 6649790, 4705720, 6652540, 3993692
1000, 7862160, 5762916, 7858126, 5032428
1100, 9543298, 8089652, 9756718, 6282392
1200, 12025402, 8651876, 12171636, 10796168
1300, 13487356, 11273312, 13724636, 14624950
1400, 16169984, 11804344, 15913320, 17498748
1500, 18098656, 15023938, 18094758, 20474996
1600, 41390868, 15541488, 41185778, 23018148
1700, 23203662, 19404202, 23198160, 26292182
1800, 26465532, 19470124, 26452180, 29784434
1900, 28983138, 24011222, 28953098, 32758634
2000, 34404756, 23856336, 34470750, 36268318
2100, 35973376, 29542402, 36221798, 39968012
2200, 39701428, 29004724, 39668028, 44094334
2300, 44388508, 35285730, 44152086, 48402102
2400, 85039654, 34485058, 84583258, 54780518
2500, 50460864, 41642920, 50436724, 58008838
2600, 55995736, 40864778, 55778404, 61914992
2700, 59636446, 48805948, 58941506, 66621656
2800, 67507306, 47328132, 67481984, 72099750
2900, 69470380, 56864012, 69690760, 77353950
3000, 74199488, 53579786, 73693156, 82371080
3100, 83574148, 64058284, 78045198, 88833888
