90, 3674008, 1733983, 2723763, 2126808
180, 30002583, 7720812, 21055525, 15506305
270, 109457737, 27841993, 69180400, 52970382
360, 257677542, 68652320, 160724556, 123858396
450, 486127569, 129006259, 310826444, 242419500
540, 812448374, 217820829, 523823194, 417624588
630, 1279029196, 338629834, 808295799, 663283605
720, 2034815403, 542898972, 1230315850, 985218469
810, 3753126280, 903617863, 1776434205, 1405556766
900, 5158359252, 1303995679, 2505852961, 1914244030
180, 30306290, 8562715, 21197095, 15782220
360, 255991741, 72819702, 161332419, 125504578
540, 910922630, 252995572, 554446501, 419645815
720, 2186451680, 618055293, 1214090031, 992374426
900, 5026921372, 1336358998, 2383024762, 1930790167
1080, 7825074426, 2352007929, 4132043334, 3299488038
1260, 12550733323, 3589251994, 6578508837, 5197947249
1440, 17377316564, 5210067913, 9785478574, 7736221818
1620, 31318290666, 8552801415, 15796816174, 10973215342
1800, 40115366895, 10863097891, 22805521567, 15203506834
30, 157244, 707878, 145666, 540046
60, 1117267, 318240, 1024488, 633067
90, 3664674, 999126, 3325626, 1958997
120, 8446618, 2187856, 7859163, 4434411
150, 16416784, 4276234, 15218496, 8784756
180, 29917076, 7675722, 26408541, 15635692
210, 51405696, 13304714, 41296528, 24899194
240, 68376445, 18769723, 61122870, 36527760
270, 102370489, 27988840, 86563245, 52117988
300, 144621154, 40211164, 118369965, 70847305
330, 194163033, 54532774, 157106005, 94900719
360, 251110512, 71609824, 180517888, 122265781
390, 318666322, 88580898, 203056333, 156918481
420, 403132633, 114367377, 237286400, 193843116
450, 504342165, 141530860, 291073806, 239655402
480, 618009926, 169568971, 343777748, 289743624
510, 763885584, 220015735, 410458550, 350059302
540, 868150044, 247084329, 484470453, 412653164
570, 1042947648, 297004417, 570607754, 487584900
600, 1241878320, 351596019, 669136662, 563822780
5, 2368, 508392, 2203, 11685
10, 5414, 12168, 5738, 15555
15, 23767, 14094, 22453, 24127
20, 50958, 20851, 47786, 37479
25, 93571, 34758, 86205, 66855
30, 154890, 51080, 141267, 99417
35, 238665, 73076, 218790, 143420
40, 348408, 98913, 319363, 198057
45, 487472, 141951, 443516, 303688
50, 672058, 184773, 598431, 385063
55, 867114, 260690, 796629, 495126
60, 1141351, 298515, 1015106, 615139
65, 1424113, 398775, 1284084, 811454
70, 1717902, 490399, 1724950, 982090
75, 2138284, 569919, 2094166, 1185703
80, 2582013, 668458, 2539162, 1390928
85, 3045276, 844200, 2900530, 1891756
90, 3671100, 977234, 3282591, 2169309
95, 4224747, 1120784, 3839421, 2548731
100, 5007488, 1278892, 4466480, 2910124
105, 5657511, 1542528, 5509562, 3296278
110, 6536736, 1718416, 6141229, 3665116
115, 7434288, 1950530, 6713240, 4393634
120, 8455136, 2164143, 7921753, 5061837
125, 9439326, 2527095, 8944927, 5481262
130, 10707994, 2869074, 9765126, 6142042
135, 11962076, 3379690, 11347516, 7096309
140, 13263397, 3734053, 12290223, 7414344
145, 14918749, 3925342, 13716712, 8720636
150, 16341717, 4252798, 15359079, 9266238
