45, 493362, 16102184, 496728, 12722731
90, 3711956, 115366723, 3426159, 137204794
135, 12218673, 470542168, 11276856, 471639675
180, 30190964, 976357285, 26903426, 1175713740
225, 60086206, 2005048630, 52784352, 2043114501
270, 109872684, 3642608887, 90034423, 3662469658
315, 178408836, 5885180042, 142677082, 6243087258
360, 271206356, 8810225575, 211772628, 9050248040
405, 372112171, 12467530969, 301764686, 12633135660
450, 506975356, 16924163824, 298310306, 18132675591
495, 652214170, 22900237743, 393892988, 24836050238
540, 848050034, 27016288142, 492624046, 31853842437
585, 1053718783, 38625257113, 611074544, 36995647554
630, 1376760996, 50065912310, 777623169, 51676668932
675, 1854006192, 67330455476, 966791149, 66402009284
720, 2114253237, 86261713945, 1251379713, 77106285950
765, 3084252444, 106863565888, 1542215332, 96290915014
810, 3799909915, 125043476972, 1806604074, 114352212981
855, 4872291742, 139338385142, 2138644245, 130539287343
900, 5172726697, 166581053096, 2412202611, 155037241764
