180, 30306290, 8562715, 21197095, 15782220
360, 255991741, 72819702, 161332419, 125504578
540, 910922630, 252995572, 554446501, 419645815
720, 2186451680, 618055293, 1214090031, 992374426
900, 5026921372, 1336358998, 2383024762, 1930790167
1080, 7825074426, 2352007929, 4132043334, 3299488038
1260, 12550733323, 3589251994, 6578508837, 5197947249
1440, 17377316564, 5210067913, 9785478574, 7736221818
1620, 31318290666, 8552801415, 15796816174, 10973215342
1800, 40115366895, 10863097891, 22805521567, 15203506834
