45, 493945, 902131, 450853, 678240
90, 3705184, 1233331, 3298374, 2144131
135, 12163546, 3562657, 11076634, 6384049
180, 30012584, 8380936, 26262216, 15158998
225, 56433790, 17494664, 50329216, 28712678
270, 102421443, 31831624, 86747256, 49221540
315, 169211844, 51797754, 137332735, 77028811
360, 254978056, 78654571, 204279033, 114827349
405, 359995597, 112193611, 290788621, 162277279
450, 521599899, 154457636, 295251184, 220778794
495, 661204353, 205423794, 379197644, 292627760
540, 874568952, 269256600, 483873804, 380407726
585, 1152906253, 344131866, 621073569, 482143708
630, 1538955262, 429993867, 775550772, 599171108
675, 1969022746, 518105120, 981728517, 735773752
720, 2199807018, 627549789, 1166469811, 894274232
765, 3231532731, 752276552, 1422669322, 1071433198
810, 3764249910, 901537711, 1677676698, 1269943833
855, 4899663028, 1069968402, 1999066564, 1491689854
900, 5078584641, 1271676196, 2376260089, 1743609999
