 0, 2723
 1, 2022
 2, 2024
 3, 2017
 4, 1981
 5, 1986
 6, 1984
 7, 1989
 8, 1958
 9, 2019
 10, 2014
 11, 2019
 12, 1986
 13, 1989
 14, 1986
 15, 1989
 16, 1955
 17, 2019
 18, 2014
 19, 2019
 20, 1991
 21, 1991
 22, 1986
 23, 1989
 24, 1958
 25, 2019
 26, 2014
 27, 2017
 28, 1991
 29, 1996
 30, 1991
 31, 1996
 32, 1958
 33, 2012
 34, 2009
 35, 2009
 36, 1984
 37, 1984
 38, 1981
 39, 1981
 40, 1960
 41, 2014
 42, 2012
 43, 2012
 44, 1984
 45, 1989
 46, 1984
 47, 1984
 48, 1960
 49, 1978
 50, 1978
 51, 1981
 52, 1966
 53, 1968
 54, 1968
 55, 1966
 56, 1960
 57, 1955
 58, 1958
 59, 1955
 60, 1817
 61, 1815
 62, 1817
 63, 1815
 0, 550
 1, 540
 2, 542
 3, 540
 4, 542
 5, 540
 6, 542
 7, 542
 8, 540
 9, 542
 10, 540
 11, 542
 12, 540
 13, 542
 14, 540
 15, 540
 16, 542
 17, 540
 18, 542
 19, 540
 20, 542
 21, 540
 22, 542
 23, 542
 24, 540
 25, 542
 26, 540
 27, 542
 28, 540
 29, 542
 30, 540
 31, 540
 32, 542
 33, 540
 34, 542
 35, 540
 36, 542
 37, 540
 38, 542
 39, 542
 40, 540
 41, 542
 42, 540
 43, 542
 44, 540
 45, 542
 46, 540
 47, 540
 48, 542
 49, 540
 50, 542
 51, 540
 52, 542
 53, 540
 54, 542
 55, 542
 56, 540
 57, 542
 58, 540
 59, 542
 60, 540
 61, 542
 62, 540
 63, 540
