113, 4821190, 4980358, 5288679
226, 42168218, 40265574, 46781053
339, 152177212, 133367500, 345889668
452, 397541455, 316505686, 861986346
565, 1050502162, 622687713, 1787599433
678, 2184356416, 1164793958, 3278987593
791, 5305184617, 2086474909, 6878911447
904, 5820051068, 3235210418, 8590488788
1017, 14726756959, 4824075131, 17296689302
1130, 13907646600, 6427645970, 19243102093
1243, 20938724872, 8838152353, 26910572070
1356, 22595488101, 11290692243, 31273126757
1469, 33882622315, 14519043680, 44512581332
1582, 39776131682, 18049701708, 53272298853
1695, 51363125210, 22029243533, 69930431705
1808, 45156407735, 26900658277, 83581841512
1921, 72688192632, 32713328650, 99391207436
2034, 115486287926, 38539101556, 146998707176
2147, 100373185887, 45425424175, 137940008309
2260, 97631497534, 52931374873, 152087125034

