820, 13881788196, 2283355663, 30276995625
840, 14212414949, 2476258375, 32094597547
860, 16021227608, 2672048456, 34984911027
880, 16932590619, 2872017898, 37609529978
900, 18396714628, 3082556098, 40220621143
920, 19706390833, 3301209041, 42998747232
940, 20959885491, 3538270926, 46020681121
960, 22164805518, 3748877401, 50159359746
980, 23806186144, 4020036939, 52298612052
1000, 25412156273, 4285127860, 55745400825
1020, 26920239126, 4545792232, 59383140971
1040, 27432043250, 4816239155, 63336917995
1060, 30323341372, 5083039293, 67012390088
1080, 32248514920, 5366344217, 70924967681
1100, 33915337388, 5677992177, 75149152988
1120, 36502835736, 5995277894, 83358582808
1140, 37788228834, 6328190476, 84100089093
1160, 38958609911, 6630892314, 88699188083
1180, 41910571371, 6973119711, 93761915428
1200, 44563458084, 7329587335, 101286693936

