10,  0551, 0289, 0265, 0259, 0270, 0270, 0264, 0255, 0256, 0255, 0252, 0258
20,  0329, 0317, 0281, 0264, 0247, 0242, 0243, 0240, 0241, 0246, 0240, 0238
30,  0378, 0325, 0311, 0257, 0261, 0254, 0259, 0251, 0251, 0251, 0243, 0241
40,  05875, 0350, 0344, 0266, 0253, 0249, 0244, 0248, 0250, 0249, 0245, 0245
50,  0475, 0386, 0373, 0277, 0266, 0258, 0254, 0263, 0259, 0257, 0251, 0253
60,  0515, 0413, 0406, 0290, 0264, 0262, 0255, 0256, 0262, 0257, 0254, 0254
70,  0567, 0451, 0438, 0302, 0278, 0267, 0262, 0263, 0267, 0263, 0261, 0260
80,  0606, 0477, 0469, 0314, 0276, 0275, 0267, 0264, 0265, 0262, 0262, 0262
90,  0654, 0508, 0502, 0325, 0290, 0274, 0271, 0273, 0275, 0276, 0266, 0269
100,  0700, 0540, 0534, 0338, 0287, 0285, 0282, 0265, 0275, 0273, 0270, 0265
110,  0748, 0571, 0565, 0349, 0301, 0287, 0282, 0274, 0284, 0281, 0273, 0272
120,  0796, 0601, 0596, 0362, 0300, 0297, 0290, 0273, 0279, 0284, 0278, 0273
130,  0843, 0635, 0629, 0372, 0314, 0300, 0295, 0281, 0284, 0286, 0281, 0276
140,  0890, 0665, 0660, 0385, 0311, 0309, 0303, 0283, 0284, 0284, 0285, 0281
150,  0937, 0698, 0691, 0396, 0319, 0315, 0309, 0288, 0291, 0291, 0289, 0288
160,  0985, 0728, 0723, 0408, 0323, 0321, 0315, 0289, 0292, 0290, 0293, 0291
170,  01032, 0817, 0755, 0420, 0328, 0327, 0322, 0298, 0300, 0306, 0295, 0293
180,  01080, 0787, 0786, 0432, 0336, 0333, 0327, 0297, 0298, 0300, 0300, 0297
190,  01127, 0824, 0818, 0443, 0341, 0340, 0331, 0306, 0306, 0308, 0303, 0301
200,  01174, 0855, 0849, 0456, 0347, 0346, 0339, 0305, 0308, 0306, 0313, 0305
