10,  0515, 0274, 0264, 0259, 0262, 0313, 0258, 0252, 0252, 0256, 0251, 0255
20,  0347, 0287, 0259, 0251, 0239, 0259, 0246, 0249, 0237, 0245, 0236, 0229
30,  0371, 0319, 0286, 0251, 0257, 0253, 0253, 0238, 0245, 0240, 0238, 0239
40,  0412, 0343, 0308, 0253, 0243, 0248, 0245, 0249, 0243, 0244, 0244, 0247
50,  0469, 0374, 0333, 0267, 0253, 0260, 0259, 0254, 0255, 0254, 0251, 0244
60,  0506, 0407, 0355, 0268, 0256, 0259, 0256, 0257, 0257, 0252, 0249, 0249
70,  0563, 0437, 0379, 0282, 0260, 0272, 0270, 0258, 0261, 0253, 0261, 0253
80,  0603, 0469, 0404, 0284, 0266, 0271, 0268, 0265, 0260, 0251, 0257, 0254
90,  0648, 0500, 0428, 0294, 0268, 0284, 0282, 0264, 0269, 0270, 0262, 0259
100,  0697, 0535, 0450, 0299, 0277, 0283, 0280, 0273, 0268, 0269, 0259, 0265
110,  0746, 0566, 0474, 0308, 0276, 0295, 0293, 0265, 0278, 0276, 0262, 0262
120,  0800, 0600, 0497, 0316, 0291, 0295, 0292, 0280, 0270, 0284, 0267, 0265
130,  0845, 0629, 0521, 0324, 0284, 0308, 0304, 0273, 0278, 0287, 0280, 0268
140,  0885, 0662, 0544, 0332, 0303, 0306, 0305, 0284, 0280, 0286, 0274, 0278
150,  0953, 0694, 0568, 0339, 0307, 0313, 0311, 0281, 0285, 0292, 0283, 0281
160,  0980, 0724, 0592, 0349, 0314, 0319, 0315, 0293, 0287, 0292, 0282, 0288
170,  01027, 0757, 0616, 0355, 0319, 0324, 0321, 0289, 0295, 0293, 0290, 0286
180,  01074, 0787, 0639, 0362, 0326, 0330, 0328, 0300, 0292, 0295, 0292, 0295
190,  01122, 0819, 0662, 0371, 0331, 0336, 0334, 0297, 0301, 0301, 0297, 0296
200,  01169, 0851, 0686, 0380, 0338, 0341, 0340, 0306, 0303, 0302, 0299, 0305
