10,  0744, 0275, 0277, 0259, 0264, 0265, 0262, 0258, 0259, 0262, 0259, 0256
20,  0327, 0315, 0314, 0259, 0256, 0249, 0239, 0256, 0272, 0265, 0258, 0246
30,  0382, 0362, 0361, 0277, 0278, 0254, 0255, 0277, 0276, 0280, 0277, 0243
40,  0413, 0409, 0408, 0295, 0295, 0259, 0259, 0296, 0300, 0295, 0295, 0246
50,  0468, 0456, 0456, 0314, 0314, 0269, 0269, 0317, 0325, 0326, 0316, 0251
60,  0508, 0503, 0503, 0333, 0334, 0279, 0280, 0336, 0336, 0342, 0336, 0259
70,  0562, 0550, 0550, 0354, 0354, 0291, 0291, 0356, 0359, 0358, 0355, 0260
80,  0603, 0598, 0598, 0374, 0374, 0300, 0299, 0376, 0384, 0374, 0374, 0267
90,  0648, 0646, 0645, 0393, 0395, 0310, 0309, 0397, 0394, 0405, 0394, 0267
100,  0696, 0693, 0693, 0412, 0414, 0320, 0321, 0415, 0419, 0421, 0415, 0274
110,  0743, 0740, 0740, 0432, 0432, 0328, 0329, 0436, 0444, 0436, 0434, 0278
120,  0790, 0787, 0788, 0453, 0453, 0338, 0338, 0455, 0455, 0453, 0452, 0279
130,  0838, 0835, 0835, 0471, 0474, 0348, 0349, 0473, 0479, 0484, 0474, 0284
140,  0886, 0882, 0882, 0490, 0493, 0358, 0358, 0494, 0502, 0500, 0494, 0293
150,  0933, 0929, 0930, 0511, 0511, 0370, 0369, 0513, 0514, 0515, 0513, 0288
160,  0980, 0978, 0976, 0531, 0531, 0379, 0378, 0534, 0537, 0532, 0532, 0294
170,  01027, 01024, 01024, 0551, 0551, 0388, 0388, 0552, 0562, 0564, 0554, 0296
180,  01075, 01071, 01071, 0570, 0571, 0399, 0400, 0573, 0573, 0579, 0572, 0303
190,  01122, 01119, 01119, 0590, 0590, 0407, 0407, 0592, 0596, 0595, 0591, 0305
200,  01169, 01166, 01166, 0611, 0611, 0417, 0416, 0612, 0620, 0611, 0611, 0311
