155, 11158926, 6414794, 5938433
160, 11541424, 6601356, 6106569
165, 12281816, 6597078, 6517355
170, 13001669, 7029577, 6947600
175, 13751923, 7271693, 7297658
180, 14502347, 7642044, 7788508
185, 15470041, 8197020, 8168633
190, 16209021, 8529583, 8593633
195, 17057082, 9001292, 9052570
200, 17957980, 9425583, 9540030
205, 18878078, 9899260, 9980108
210, 19883846, 10362892, 10419175
215, 20817411, 10835671, 10927993
220, 21778078, 11356828, 11361076
225, 22764074, 11887946, 11903612
230, 23726418, 12423152, 12588900
235, 24809020, 12915794, 13121731
240, 25882823, 13463443, 13705419
245, 26986682, 14042248, 14182815
250, 28143967, 14581439, 14837880
