10,  0614, 0254, 0274, 0244
20,  0280, 0276, 0263, 0262
30,  0306, 0284, 0275, 0260
40,  0305, 0310, 0274, 0285
50,  0331, 0325, 0298, 0284
60,  0349, 0349, 0297, 0309
70,  0369, 0363, 0322, 0308
80,  0381, 0383, 0320, 0320
90,  0404, 0402, 0333, 0331
100,  0426, 0423, 0345, 0344
110,  0442, 0442, 0357, 0355
120,  0462, 0462, 0367, 0367
130,  0481, 0481, 0380, 0379
140,  0502, 0502, 0393, 0391
150,  0521, 0521, 0404, 0402
160,  0541, 0541, 0415, 0415
170,  0560, 0560, 0428, 0426
180,  0581, 0581, 0439, 0438
190,  0599, 0599, 0450, 0450
200,  0620, 0620, 0462, 0462
210,  0639, 0639, 0475, 0473
220,  0660, 0660, 0486, 0486
230,  0679, 0679, 0497, 0497
240,  0699, 0699, 0514, 0510
250,  0719, 0718, 0521, 0521
260,  0739, 0738, 0533, 0533
270,  0758, 0757, 0546, 0545
280,  0778, 0778, 0557, 0557
290,  0797, 0797, 0568, 0568
300,  0818, 0817, 0581, 0581
310,  0836, 0836, 0593, 0591
320,  0857, 0857, 0604, 0605
330,  0876, 0876, 0616, 0616
340,  0896, 0897, 0629, 0628
350,  0916, 0915, 0641, 0639
360,  0936, 0936, 0652, 0652
370,  0955, 0955, 0663, 0663
380,  0976, 0975, 0675, 0675
390,  0994, 0994, 0688, 0686
400,  01014, 01015, 0699, 0699
410,  01034, 01034, 0710, 0710
420,  01054, 01054, 0723, 0723
430,  01074, 01073, 0736, 0734
440,  01094, 01093, 0746, 0747
450,  01112, 01113, 0757, 0758
460,  01133, 01133, 0770, 0770
470,  01152, 01152, 0783, 0782
480,  01172, 01173, 0793, 0794
490,  01192, 01191, 0805, 0805
500,  01212, 01212, 0817, 0817
