10,  0582, 0264, 0266, 0243
20,  0263, 0284, 0253, 0264
30,  0297, 0280, 0275, 0270
40,  0294, 0320, 0272, 0286
50,  0344, 0309, 0297, 0284
60,  0325, 0368, 0296, 0310
70,  0392, 0342, 0322, 0308
80,  0357, 0358, 0319, 0321
90,  0371, 0374, 0331, 0331
100,  0387, 0388, 0343, 0344
110,  0406, 0406, 0355, 0355
120,  0420, 0422, 0366, 0368
130,  0437, 0437, 0379, 0378
140,  0453, 0451, 0390, 0391
150,  0469, 0469, 0403, 0403
160,  0483, 0485, 0413, 0415
170,  0500, 0501, 0426, 0426
180,  0516, 0515, 0437, 0439
190,  0532, 0532, 0450, 0450
200,  0546, 0548, 0461, 0463
210,  0563, 0563, 0473, 0473
220,  0580, 0578, 0485, 0486
230,  0595, 0595, 0497, 0497
240,  0609, 0611, 0509, 0509
250,  0626, 0627, 0521, 0521
260,  0666, 0655, 0531, 0533
270,  0614, 0677, 0545, 0544
280,  0607, 0683, 0556, 0558
290,  0615, 0699, 0568, 0568
300,  0725, 0715, 0579, 0581
310,  0730, 0731, 0592, 0591
320,  0746, 0746, 0603, 0604
330,  0761, 0761, 0616, 0616
340,  0776, 0777, 0627, 0628
350,  0794, 0794, 0640, 0639
360,  0811, 0808, 0650, 0652
370,  0826, 0827, 0663, 0663
380,  0843, 0843, 0682, 0675
390,  0858, 0857, 0687, 0687
400,  0876, 0876, 0699, 0699
410,  0888, 0889, 0710, 0710
420,  0905, 0904, 0723, 0723
430,  0920, 0920, 0734, 0734
440,  0934, 0935, 0746, 0747
450,  0952, 0950, 0758, 0758
460,  0967, 0967, 0770, 0770
470,  0982, 0982, 0781, 0781
480,  01002, 01001, 0794, 0794
490,  01013, 01016, 0805, 0805
500,  01032, 01031, 0823, 0817
