
 Hello World -- psum examples

10,  0563, 0289, 0268, 0260, 0271, 0273, 0265, 0268, 0259, 0259, 0256, 0260
20,  0348, 0293, 0281, 0264, 0247, 0243, 0241, 0240, 0242, 0245, 0239, 0240
30,  0391, 0325, 0326, 0256, 0277, 0255, 0276, 0250, 0265, 0251, 0255, 0241
40,  0416, 0350, 0344, 0267, 0251, 0248, 0246, 0248, 0248, 0247, 0243, 0243
50,  0472, 0388, 0374, 0278, 0265, 0257, 0256, 0265, 0260, 0257, 0251, 0251
60,  0512, 0414, 0406, 0291, 0264, 0259, 0258, 0255, 0260, 0257, 0252, 0252
70,  0567, 0466, 0439, 0317, 0278, 0280, 0265, 0279, 0267, 0277, 0259, 0275
80,  0606, 0477, 0470, 0312, 0275, 0271, 0270, 0264, 0265, 0262, 0260, 0260
90,  0654, 0507, 0500, 0326, 0289, 0276, 0275, 0273, 0275, 0276, 0265, 0268
100,  0700, 0540, 0532, 0336, 0287, 0284, 0281, 0267, 0273, 0273, 0268, 0265
110,  0762, 0571, 0579, 0350, 0316, 0287, 0300, 0275, 0297, 0281, 0288, 0269
120,  0796, 0603, 0596, 0360, 0300, 0295, 0294, 0273, 0279, 0283, 0276, 0273
130,  0842, 0633, 0628, 0374, 0312, 0296, 0298, 0281, 0283, 0284, 0279, 0276
140,  0890, 0666, 0658, 0384, 0310, 0308, 0306, 0281, 0284, 0284, 0284, 0281
150,  0938, 0712, 0690, 0412, 0317, 0327, 0311, 0303, 0290, 0304, 0288, 0305
160,  0985, 0729, 0723, 0409, 0324, 0318, 0317, 0289, 0290, 0289, 0293, 0291
170,  01032, 0761, 0755, 0419, 0328, 0325, 0323, 0296, 0299, 0304, 0295, 0292
180,  01100, 0791, 0784, 0432, 0335, 0331, 0328, 0297, 0298, 0300, 0300, 0297
190,  01141, 0824, 0831, 0444, 0355, 0336, 0351, 0307, 0320, 0307, 0319, 0299
200,  01174, 0855, 0847, 0456, 0347, 0343, 0341, 0304, 0308, 0304, 0311, 0305
